The sum: 1499950.000000
The list edges: 
1220 511 50.000000
1623 144 50.000000
211 1623 50.000000
332 211 50.000000
518 1623 50.000000
528 1623 50.000000
1557 332 50.000000
1591 1557 50.000000
1624 1358 50.000000
1524 1624 50.000000
45 1524 50.000000
1625 342 50.000000
1626 1534 50.000000
1627 141 50.000000
299 1627 50.000000
152 299 50.000000
802 299 50.000000
1416 299 50.000000
1432 299 50.000000
1628 317 50.000000
1629 317 50.000000
1177 1629 50.000000
1630 634 50.000000
1631 1191 50.000000
1633 1329 50.000000
458 1633 50.000000
107 458 50.000000
563 107 50.000000
1636 165 50.000000
1637 69 50.000000
1322 1637 50.000000
1638 1419 50.000000
906 1638 50.000000
1639 387 50.000000
817 1639 50.000000
1640 90 50.000000
113 1640 50.000000
493 113 50.000000
1643 1617 50.000000
1644 981 50.000000
1547 1644 50.000000
389 1547 50.000000
925 389 50.000000
1111 925 50.000000
1645 355 50.000000
1646 1549 50.000000
1647 62 50.000000
1649 547 50.000000
95 1649 50.000000
335 95 50.000000
1650 457 50.000000
1651 1543 50.000000
1654 865 50.000000
307 1654 50.000000
537 307 50.000000
1655 571 50.000000
1123 1655 50.000000
1657 948 50.000000
1207 1657 50.000000
1661 90 50.000000
1662 1238 50.000000
543 1662 50.000000
1663 1629 50.000000
1426 1663 50.000000
1664 363 50.000000
1666 13 50.000000
1668 515 50.000000
1669 676 50.000000
1670 234 50.000000
1671 678 50.000000
1672 852 50.000000
1674 635 50.000000
1471 1674 50.000000
1675 213 50.000000
1676 349 50.000000
1677 414 50.000000
922 1677 50.000000
479 922 50.000000
552 922 50.000000
1577 552 50.000000
1678 363 50.000000
190 1678 50.000000
1609 1678 50.000000
1679 249 50.000000
32 1679 50.000000
1357 32 50.000000
163 1357 50.000000
713 163 50.000000
1682 864 50.000000
1683 311 50.000000
28 1683 50.000000
1685 423 50.000000
1493 1685 50.000000
1439 1493 50.000000
1632 1439 50.000000
7 1632 50.000000
159 7 50.000000
1686 863 50.000000
1 1686 50.000000
1313 1686 50.000000
336 1313 50.000000
1687 654 50.000000
1247 1687 50.000000
421 1247 50.000000
406 421 50.000000
810 1247 50.000000
1688 623 50.000000
1690 233 50.000000
1665 1690 50.000000
1691 656 50.000000
607 1691 50.000000
1693 1226 50.000000
1694 712 50.000000
450 1694 50.000000
1695 149 50.000000
854 1695 50.000000
846 854 50.000000
1318 1695 50.000000
1059 1318 50.000000
238 1059 50.000000
1277 238 50.000000
1684 1277 50.000000
562 1684 50.000000
1697 44 50.000000
1698 682 50.000000
1699 1614 50.000000
1700 568 50.000000
148 1700 50.000000
1702 1444 50.000000
1703 957 50.000000
1704 1252 50.000000
1705 355 50.000000
137 1705 50.000000
1708 678 50.000000
646 1708 50.000000
1709 991 50.000000
1538 1709 50.000000
1710 1009 50.000000
1712 931 50.000000
385 1712 50.000000
1713 1161 50.000000
1715 257 50.000000
1716 298 50.000000
1717 1572 50.000000
1718 1527 50.000000
1719 1717 50.000000
1721 1617 50.000000
1376 1721 50.000000
1723 1617 50.000000
430 1723 50.000000
894 1723 50.000000
1268 430 50.000000
1725 134 50.000000
686 1725 50.000000
1405 1725 50.000000
1726 44 50.000000
1728 1348 50.000000
1729 642 50.000000
1175 1729 50.000000
1731 782 50.000000
1732 889 50.000000
1733 897 50.000000
1735 741 50.000000
1736 651 50.000000
1737 1435 50.000000
750 1737 50.000000
1738 978 50.000000
1346 1738 50.000000
1069 1346 50.000000
1739 614 50.000000
1740 1408 50.000000
1741 777 50.000000
1742 809 50.000000
373 1742 50.000000
1743 806 50.000000
1744 434 50.000000
718 1744 50.000000
1106 718 50.000000
1421 1106 50.000000
795 1421 50.000000
198 795 50.000000
540 198 50.000000
1041 795 50.000000
1062 1421 50.000000
1745 298 50.000000
376 1745 50.000000
914 1745 50.000000
239 914 50.000000
288 914 50.000000
910 288 50.000000
1126 1745 50.000000
1585 1126 50.000000
1641 288 50.000000
1746 1203 50.000000
1747 5 50.000000
992 1747 50.000000
1652 1747 50.000000
1748 1365 50.000000
1749 75 50.000000
1751 1513 50.000000
1752 676 50.000000
1110 1752 50.000000
196 1110 50.000000
1212 1752 50.000000
1754 798 50.000000
1759 1180 50.000000
1049 1759 50.000000
1760 613 50.000000
1761 440 50.000000
1605 1761 50.000000
1002 1605 50.000000
1089 1002 50.000000
1762 968 50.000000
61 1762 50.000000
869 61 50.000000
244 869 50.000000
1763 989 50.000000
1764 844 50.000000
1765 885 50.000000
886 1765 50.000000
1114 886 50.000000
1766 819 50.000000
1151 1766 50.000000
1767 437 50.000000
1659 1767 50.000000
273 1659 50.000000
1768 976 50.000000
1769 840 50.000000
321 1769 50.000000
1305 1769 50.000000
1770 1052 50.000000
1771 1697 50.000000
